page,country,rev_id,Geography,Population mid-2018 (millions)
Information Minister of the Palestinian National Authority,Palestinian Territory,393276188,,
Julius Gregr,Czech Republic,395521877,,
Edvard Gregr,Czech Republic,395526568,,
Presidents of the General Council of French Guiana,French Guiana,546364151,,
Timoteo Menéndez,Salvadoran,566504165,,
Gervas Clay,Rhodesian,574571582,,
Mavua Mudima,"Congo, Dem. Rep. of",592289232,,
Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202,,
Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729,,
"List of members of the parliament of East Timor, 2001–07",East Timorese,638566016,,
"List of members of the Løgting, 1974–78",Faroese,643932216,,
"List of members of the Løgting, 1978–80",Faroese,643932220,,
"List of members of the Løgting, 1980–84",Faroese,643932225,,
"List of members of the Løgting, 1984–88",Faroese,643932226,,
"List of members of the Løgting, 1990–94",Faroese,643932239,,
"List of members of the Løgting, 1994–98",Faroese,643932242,,
James Bisset (mayor),Cape Colony,647367482,,
Augustus Joseph Tancred,Cape Colony,651250302,,
Johan Conrad Silberbauer,Cape Colony,653467222,,
List of provincial governors of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",663088604,,
"List of members of the National Assembly (South Korea), 1950–54",South Korean,663348266,,
James Cotterell Hoole,Cape Colony,666596918,,
Harry Davies (politician),Rhodesian,669387487,,
Patrick Goold,Cape Colony,670210734,,
Toluono Feti,Samoan,671515606,,
Miroslav Poche,Czech Republic,672862914,,
Vojtěch Mynář,Czech Republic,673008587,,
Speaker of the Legislative Assembly of Montserrat,Montserratian,674919905,,
Andries Botha,Cape Colony,676828191,,
Joaquín Escolán y Balibrera,Salvadoran,679294949,,
Charles William Hutton,Cape Colony,680205631,,
Chairman of the Island Council (Pitcairn),Pitcairn Islands,680532939,,
Hossam Arafat (politician),Palestinian Territory,680933208,,
William Fairbridge,Rhodesian,682576258,,
Earl Asim Martin,Saint Kitts and Nevis,687127320,,
John Blades Currey,Cape Colony,693624260,,
Zaur Avidzba,Abkhazia,694519009,,
"List of members of the Løgting, 1998–2002",Faroese,698865505,,
José Abel,East Timorese,699698855,,
Tórbjørn Poulsen,Faroese,700400143,,
Tawfik Tirawi,Palestinian Territory,701106976,,
Demmus Hentze,Faroese,701771698,,
Young Vivian,Niuean,703037968,,
Noel Ahipeaud,Ivorian,703133769,,
Claude Lise,Martinique,703216645,,
Simon Jenko,Carniolan,703436823,,
Park In-won,South Korean,703478926,,
Paul Southwell,Saint Kitts and Nevis,703666654,,
Petrus Compton,Saint Lucian,703819839,,
Jan Malypetr,Czech Republic,704424304,,
Thomas François Burgers,South African Republic,704636517,,
Céleo Arias,Hondura,704789339,,
James Ah Koy,Samoan,704919844,,
Zaur Ardzinba,Abkhazia,704938340,,
Emanuel Moravec,Czech Republic,705080136,,
Va'aelua Eti Alesana,Samoan,705218371,,
Juan Francisco de Molina,Hondura,705346284,,
Felipe Neri Medina,Hondura,705346304,,
Mariano Garrigó,Hondura,705346378,,
José María Bustillo (Honduran),Hondura,705346396,,
Francisco Gómez (acting president),Hondura,705346462,,
Salvador Aguirre (Honduras),Hondura,705346724,,
Francisco Bográn,Hondura,705346741,,
Fermín Palacios,Salvadoran,705353491,,
Eugenio Aguilar,Salvadoran,705353565,,
Tomás Medina,Salvadoran,705353584,,
Ramón Rodríguez (Salvadoran politician),Salvadoran,705353647,,
Vicente Gómez,Salvadoran,705353678,,
Lorenzo Zepeda,Salvadoran,705353843,,
José María Peralta,Salvadoran,705353896,,
Francisco Menéndez,Salvadoran,705353975,,
Pedro José Escalón,Salvadoran,705354095,,
Fernando Figueroa,Salvadoran,705354112,,
Carlos Meléndez (politician),Salvadoran,705354212,,
Fabio Castillo Figueroa,Salvadoran,705385310,,
Eugène Diomi Ndongala Nzomambu,"Congo, Dem. Rep. of",705390654,,
President of the General Council of Martinique,Martinique,705428274,,
Théophile Mbemba Fundu,"Congo, Dem. Rep. of",705707214,,
Ntumba Luaba,"Congo, Dem. Rep. of",705723187,,
Myra Ndjoku Manianga,"Congo, Dem. Rep. of",705723441,,
Misa Telefoni Retzlaff,Samoan,706207837,,
Isam al-Qadi,Palestinian Territory,706650943,,
Ricardo Montenegro,Salvadoran,706769596,,
Vicente Flores,Incan,706771757,,
Luagalau Levaula Kamu,Samoan,706804758,,
Leafa Vitale,Samoan,706837234,,
Khozh-Ahmed Noukhayev,Chechen,707217873,,
Rafael Campo,Salvadoran,707399758,,
Miguel Santín del Castillo,Salvadoran,707400213,,
Osmín Aguirre y Salinas,Salvadoran,707403482,,
Eusebio Rodolfo Cordón Cea,Salvadoran,707404888,,
Juan José Guzmán,Salvadoran,707519272,,
Niko Lee Hang,Samoan,707525246,,
Tuu'u Anasi'i Leota,Samoan,707525315,,
Vladimír Hučín,Czech Republic,707597623,,
Hussein al-Araj,Palestinian Territory,707669406,,
Tuiloma Pule Lameko,Samoan,707750982,,
Juan Ramón Salgado,Hondura,707824636,,
André-Philippe Futa,"Congo, Dem. Rep. of",708009445,,
Juan José Cañas,Salvadoran,708089470,,
Mohammad Barghouti,Palestinian Territory,708269321,,
Gérard Gifuza,"Congo, Dem. Rep. of",708358969,,
Koloso Sumaili,"Congo, Dem. Rep. of",708359204,,
Ahmed Khalidi,Palestinian Territory,708495719,,
Tuo Fozié,Ivorian,708711840,,
Terry Le Main,Jersey,708727189,,
Paul Routier,Jersey,708727221,,
Mike Vibert,Jersey,708766654,,
Health Minister of the Palestinian National Authority,Palestinian Territory,708817890,,
Lee Moore (politician),Saint Kitts and Nevis,709078753,,
Joseph Parry (politician),Saint Kitts and Nevis,709078817,,
Qais Abd al-Karim,Palestinian Territory,709529097,,
Mahmoud Aloul,Palestinian Territory,709567584,,
Pavla Topolánková,Czech Republic,709676840,,
Harold Dalson,Saint Lucian,709912281,,
Keith Mondesir,Saint Lucian,709912316,,
Rufus Bousquet,Saint Lucian,709914459,,
Victor Batarseh,Palestinian Territory,709994434,,
Hanna Nasser (academic),Palestinian Territory,710133339,,
Sean Power (Jersey),Jersey,710334019,,
Anastas Hanania,Palestinian Territory,710390049,,
Robert James Dugu Gordon,Saint Kitts and Nevis,710428915,,
Leonard Norman,Jersey,710503170,,
José Gregorio Salazar,Salvadoran,710543364,,
Mike Torode,Guernsey,710546915,,
Diego Vigil Cocaña,Salvadoran,710555824,,
Nicolás Espinoza,Salvadoran,710578840,,
Léon Emmanuel Monnet,Ivorian,710585105,,
Juan José Alvarado,Hondura,710598059,,
Joudeh George Murqos,Palestinian Territory,710676772,,
Pedro Barriere,Salvadoran,710677703,,
Joaquín de San Martín,Salvadoran,710828020,,
Ali al-Sartawi,Palestinian Territory,710990363,,
Juan Ángel Almendares Bonilla,Hondura,711170881,,
Washington Malianga,Rhodesian,711506001,,
Josef Barák,Czech Republic,711675761,,
Ronald Snapper,Rhodesian,712233907,,
Rogerio Lobato,East Timorese,712249441,,
Jamal Tirawi,Palestinian Territory,712310215,,
Antonín Švehla,Czech Republic,712426548,,
Peter Waterworth,Montserratian,712713704,,
Pierre Djédji Amondji,Ivorian,713176326,,
Célestin Cibalonza Byaterana,"Congo, Dem. Rep. of",713195149,,
Emmanuel Leku Apuobo,"Congo, Dem. Rep. of",713198718,,
Samir Abu Eisheh,Palestinian Territory,713203735,,
Henri Beaujean,Guadeloupe,713324685,,
Diabete Aboubacar Siriki,Ivorian,713381693,,
Sami Taha,Palestinian Territory,713505054,,
Kisula Ngoy,"Congo, Dem. Rep. of",713583472,,
Jakob Marzel Sternberger,Czech Republic,713698544,,
Ivan Hribar,Carniolan,713766077,,
Jean Maran,Martinique,713974388,,
Andrias Christian Evensen,Faroese,714088539,,
Jean Collins Musonda Kalusambo,"Congo, Dem. Rep. of",714150941,,
Alois Anderka,Czech Republic,714174726,,
Ayyub Musallam,Palestinian Territory,714176771,,
Hajj Essa Hamed,Palestinian Territory,714181175,,
Auguste Denise,Ivorian,714183793,,
Philippe Yacé,Ivorian,714200423,,
Hasan Tahboub,Palestinian Territory,714208891,,
Denis Kalume Numbi,"Congo, Dem. Rep. of",714220527,,
Laauli Leuatea Polataivao,Samoan,714244543,,
José Félix Quirós,Salvadoran,714256648,,
Hanna Nasser,Palestinian Territory,714586856,,
Jean-Baptiste Mockey,Ivorian,714822110,,
Joseph Orpen,Cape Colony,715016315,,
Ghazi Hanania,Palestinian Territory,715125381,,
Hákun Djurhuus,Faroese,715330944,,
Oscar Kilgore,Hondura,715365023,,
Ivan Dejmal,Czech Republic,715467197,,
Serge Larcher,Martinique,715489433,,
Jógvan Justinusson,Faroese,715490721,,
Franz Macoun,Czech Republic,715640391,,
Edgar Allen Christian,Pitcairn Islands,715823848,,
Frederick Martin Christian,Pitcairn Islands,715823876,,
John Lorenzo Christian,Pitcairn Islands,715823908,,
Andrass Samuelsen,Faroese,716137698,,
Kim Seung-kew,South Korean,716323288,,
Joseph Lambert Eustace,Saint Vincent and the Grenadines,716335437,,
Len Ishmael,Saint Lucian,716376965,,
Amin Abd al-Hadi,Palestinian Territory,716425885,,
Gregor Žerjav,Carniolan,716507073,,
Karel Dežman,Carniolan,716574519,,
Willem Cornelis Janse van Rensburg,South African Republic,716703178,,
Karel Urbánek,Czech Republic,716711851,,
Roberto Flores Bermúdez,Hondura,716882219,,
Samir Hulileh,Palestinian Territory,717174805,,
Stanislav Kochiev,South Ossetian,717215546,,
Valeriy Hubulov,South Ossetian,717241760,,
Benjamin Stanley Young,Pitcairn Islands,717259837,,
Edward Quintal,Pitcairn Islands,717338734,,
Arthur Quintal I,Pitcairn Islands,717340951,,
Fletcher Christian II,Pitcairn Islands,717340996,,
Moses Young,Pitcairn Islands,717341064,,
Matthew McCoy (Magistrate),Pitcairn Islands,717345596,,
Arthur Quintal II,Pitcairn Islands,717346443,,
Leona Gabriel,Martinique,717349591,,
Hatem Qafisha,Palestinian Territory,717350346,,
Josip Vilfan,Carniolan,717350390,,
Charles Christian II,Pitcairn Islands,717350782,,
Seo Young-kyo,South Korean,717405394,,
Vladimír Klokočka,Czech Republic,717429365,,
To’alepaiali’i Toeolesulusulu Salesa III,Samoan,717442173,,
Tou Travel Ariki,Cook Island,717545630,,
Piho Rua,Cook Island,717593716,,
Luka Svetec,Carniolan,717669055,,
María Josefa Lastiri,Hondura,717808509,,
Norris Henry Young,Pitcairn Islands,717867039,,
Robert Woonton,Cook Island,717897925,,
Edgardo Carlos Suárez Mallagray,Salvadoran,717903674,,
Nayef Rajoub,Palestinian Territory,717907429,,
Ben Shenton,Jersey,717911161,,
Hilal Al Sarmi,Omani,717915660,,
Jean Julien Angot des Rotours,Guadeloupe,718041739,,
Eduardo Bueso,Hondura,718132526,,
Klaas Afrikaner,Cape Colony,718462130,,
Delphin Kyubwa,"Congo, Dem. Rep. of",718961623,,
Namulau’ulu Vavae Tuilagi,Samoan,718995854,,
Laurie Morgan,Guernsey,719122168,,
Ngereteina Puna,Cook Island,719186872,,
Christopher J. Turner,Montserratian,719256142,,
Elvin Santos,Hondura,719637124,,
Lefau Harry Schuster,Samoan,719691980,,
Arthur Galsworthy,Pitcairn Islands,719706841,,
Manuel Magalhaes de Oliveira,East Timorese,720011934,,
Jaromír Jermář,Czech Republic,720027362,,
Jules Ninine,Guadeloupe,720032116,,
Furcie Tirolien,Guadeloupe,720040455,,
Henri Bangou,Guadeloupe,720040633,,
